;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;REGISTRO DE EAN + SKU;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;153;EANs preenchidos;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;66%;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SKU;Código EAN;Produto;Cor;Tamanho;Material;KIT;Quantidade;Registrado no GS1?;;;;;;;;;;;;;;;;;;;;;;;
PJO-TRA-MED-PETG-K3;7893993736222;Porta Joias;Translúcido;Médio;PETG;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-VER-PEQ-PETG-K1;7893570781928;Porta Joias;Vermelho;Pequeno;PETG;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-VER-PEQ-PETG-K3;7896642250988;Porta Joias;Vermelho;Pequeno;PETG;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-VER-MED-PETG-K1;7897169778269;Porta Joias;Vermelho;Médio;PETG;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-VER-MED-PETG-K3;7891986453521;Porta Joias;Vermelho;Médio;PETG;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-PIN-PEQ-PLA-K1;7894838602047;Porta Joias;Rosa pink;Pequeno;PLA;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-PIN-PEQ-PLA-K3;7898048076964;Porta Joias;Rosa pink;Pequeno;PLA;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-PIN-MED-PLA-K1;7893099189922;Porta Joias;Rosa pink;Médio;PLA;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-PIN-MED-PLA-K3;7894598992754;Porta Joias;Rosa pink;Médio;PLA;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-PEQ-PLA-K1;7894058084081;Porta Joias;Rosa bebê;Pequeno;PLA;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-PEQ-PLA -K3;7894770299411;Porta Joias;Rosa bebê;Pequeno;PLA;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-MED-PLA-K1;7899324873666;Porta Joias;Rosa bebê;Médio;PLA;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-RBB-MED-PLA -K3;7895060486382;Porta Joias;Rosa bebê;Médio;PLA;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-VEA-PEQ-PLA-K1;7894984373402;Porta Joias;Verde água;Pequeno;PLA;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-VEA-PEQ-PLA -K3;7893346378970;Porta Joias;Verde água;Pequeno;PLA;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-VEA-MED-PLA-K1;7896264760032;Porta Joias;Verde água;Médio;PLA;Não;1;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-VEA-MED-PLA -K3;7890868279815;Porta Joias;Verde água;Médio;PLA;Sim;3;FALSO;;;;;;;;;;;;;;;;;;;;;;;
PJO-VEA-PEQ-ABS-K6;7898158404053;Porta Joias;Verde água;Pequeno;ABS;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VEA-PEQ-ABS-K9;7894143999580;Porta Joias;Verde água;Pequeno;ABS;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VEA-PEQ-ABS-K12;7896889867901;Porta Joias;Verde água;Pequeno;ABS;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VEA-PEQ-ABS-K15;7896887624766;Porta Joias;Verde água;Pequeno;ABS;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VEA-MED-ABS-K6;7895392729119;Porta Joias;Verde água;Médio;ABS;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VEA-MED-ABS-K9;7898268047133;Porta Joias;Verde água;Médio;ABS;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VEA-MED-ABS-K12;7895828528408;Porta Joias;Verde água;Médio;ABS;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-VEA-MED-ABS-K15;7890999638000;Porta Joias;Verde água;Médio;ABS;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRD-PEQ-PEG-K6;7892933761669;Porta Joias;Branco Dental;Pequeno;PETG;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRD-PEQ-PEG-K9;7896581285058;Porta Joias;Branco Dental;Pequeno;PETG;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRD-PEQ-PEG-K12;7899129139295;Porta Joias;Branco Dental;Pequeno;PETG;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRD-PEQ-PEG-K15;7892214410781;Porta Joias;Branco Dental;Pequeno;PETG;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRD-MED-PEG-K6;7898966736063;Porta Joias;Branco Dental;Médio;PETG;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRD-MED-PEG-K9;7895782616555;Porta Joias;Branco Dental;Médio;PETG;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRD-MED-PEG-K12;7899670002741;Porta Joias;Branco Dental;Médio;PETG;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-BRD-MED-PEG-K15;7893743552140;Porta Joias;Branco Dental;Médio;PETG;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-LAR-PEQ-ABS-K6;7895843514998;Porta Joias;Laranja;Pequeno;ABS;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-LAR-PEQ-ABS-K9;7895642530632;Porta Joias;Laranja;Pequeno;ABS;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-LAR-PEQ-ABS-K12;7892808394664;Porta Joias;Laranja;Pequeno;ABS;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-LAR-PEQ-ABS-K15;7899885481959;Porta Joias;Laranja;Pequeno;ABS;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
PJO-LAR-MED-ABS-K6;7892541128380;Porta Joias;Laranja;Médio;ABS;Sim;6;;;;;;;;;;;;;;;;;;;;;;;;
PJO-LAR-MED-ABS-K9;7893568761895;Porta Joias;Laranja;Médio;ABS;Sim;9;;;;;;;;;;;;;;;;;;;;;;;;
PJO-LAR-MED-ABS-K12;7890277267922;Porta Joias;Laranja;Médio;ABS;Sim;12;;;;;;;;;;;;;;;;;;;;;;;;
PJO-LAR-MED-ABS-K15;7897112596704;Porta Joias;Laranja;Médio;ABS;Sim;15;;;;;;;;;;;;;;;;;;;;;;;;
